float3(-8.339137E-08f, 6.955638E-10f, 8.305889E-11f),
float3(0.006001365f, 0.003302998f, 0.001422421f),
float3(0.00763214f, 0.00617906f, -0.0001005241f),
float3(0.01530283f, 0.00681004f, 0.00136498f),
float3(0.01098769f, 5.523676E-06f, 0.002387709f),
float3(1.880373f, 0.2357116f, 0.1158216f),
float3(-116990.2f, 17.15053f, -0.0004244885f),
float3(-117647.8f, 0.4128378f, 0.07756623f),
float3(-116983.9f, 0.2219813f, 3.169453f),
float3(-115600.4f, 19.21395f, 9.925539f),
float3(-113960.2f, 34.42225f, 1.031665f),
float3(-407469.4f, -69.0411f, -4.583016f),
float3(-528250.8f, 12.33537f, 9.024226f),
float3(792532.4f, 348.4462f, 16.65714f),
float3(-520520.1f, 222.4751f, 11.47569f),
float3(-506119.4f, 43.33099f, -17.5885f),
float3(-516023.3f, 298.7989f, -22.87066f),
float3(-4.309177E+07f, -1159.461f, -246285.3f),
float3(-4.309352E+07f, -1029.66f, -246313f),
float3(-4.309222E+07f, -673.1732f, -246279.9f),
float3(-4.309316E+07f, -578.165f, -246398.3f),
float3(-1.219729E+07f, -634.5482f, -246083.8f),
float3(-5.528861E+07f, -641.4473f, -227.2473f),
