float3(-2.084784E-10f, 1.73891E-12f, 2.076472E-13f),
float3(4.168007E-07f, 2.293818E-07f, 9.878308E-08f),
float3(5.300733E-07f, 4.291296E-07f, -6.980859E-09f),
float3(1.062952E-06f, 4.728934E-07f, 9.47867E-08f),
float3(7.631654E-07f, 3.835992E-10f, 1.65824E-07f),
float3(4.862531E-05f, 5.937424E-06f, 2.904753E-06f),
float3(-0.0006893825f, 0.0005247951f, -1.061257E-08f),
float3(-0.001288816f, 1.012858E-05f, 1.935053E-06f),
float3(-0.0006885011f, 5.412349E-06f, 8.629041E-05f),
float3(-0.0006671838f, 0.001664559f, 0.0007805279f),
float3(-0.001024519f, 0.003721825f, 7.972665E-05f),
float3(-0.00231951f, -0.007690269f, -0.0003245305f),
float3(-0.00495194f, 0.0006753079f, 0.0007363493f),
float3(138.5206f, 0.1178103f, 0.01154857f),
float3(-0.003010442f, 0.03788913f, 0.008281709f),
float3(-0.005403919f, 0.0619031f, -0.01912358f),
float3(-0.002875196f, 0.08377746f, -0.01886901f),
float3(-2.817942E-06f, -0.1800087f, -0.0003088269f),
float3(-2.818289E-06f, -0.3703372f, -0.0003089912f),
float3(-1.756396E-06f, -0.1385833f, -0.0004953294f),
float3(-1.756511E-06f, -0.1135491f, -0.0004960511f),
float3(-6.388854E-08f, -0.06800175f, -0.0004937717f),
float3(-3.615592E-06f, -0.05229675f, -1.490064E-08f),
